$WEATHER,DATA,:,Point,"Coupee,",LA,,
1996173,27.1,32.2,21.1,0,,,
1996174,21.8,32.2,22.2,0,,,
1996175,16.2,30,21.7,7.6,,,
1996176,13.5,30.6,21.7,9.7,,,
1996177,18,31.1,22.2,0,,,
1996178,27.4,33.3,22.2,0,,,
1996179,20.1,31.7,21.7,0,,,
1996180,24.9,32.8,21.7,0,,,
1996181,26.1,32.8,22.2,0,,,
1996182,26.7,33.3,21.7,0,,,
1996183,25.1,33.3,21.7,0,,,
1996184,25.5,33.3,21.1,0,,,
1996185,26.5,33.9,22.8,0,,,
1996186,26.9,33.9,22.8,0,,,
1996187,27.1,32.8,18.9,0,,,
1996188,24.2,34.4,21.1,0,,,
1996189,23,34.4,24.4,0,,,
1996190,11,30,22.8,0,,,
1996191,22.1,33.9,22.8,0,,,
1996192,23.1,33.3,22.8,6.4,,,
1996193,26.9,33.3,22.2,0,,,
1996194,26.1,34.4,21.1,0,,,
1996195,16.8,32.2,22.8,3,,,
1996196,17,32.2,22.2,7.6,,,
1996197,19.2,31.7,22.8,9.9,,,
1996198,13.7,32.2,23.3,0,,,
1996199,16.9,32.8,22.8,5.1,,,
1996200,18.1,32.8,23.9,0.5,,,
1996201,21.5,33.9,22.8,0,,,
1996202,22.8,33.9,22.8,0,,,
1996203,24.7,33.9,23.3,0,,,
1996204,26.2,33.9,22.2,0,,,
1996205,24.4,34.4,22.8,2.5,,,
1996206,16.7,31.1,21.7,0,,,
1996207,12.2,28.3,25,8.9,,,
1996208,15.1,28.9,21.1,2,,,
1996209,22.4,32.2,21.1,0,,,
1996210,16.5,31.7,22.8,1.3,,,
1996211,25,32.8,21.7,0,,,
1996212,17.5,31.7,22.8,0,,,
1996213,16.6,32.2,22.8,18,,,
1996214,10.9,28.9,22.8,1.3,,,
1996215,19.3,31.7,21.7,35.6,,,
1996216,19.6,29.4,21.1,4.1,,,
1996217,24.3,32.2,21.7,0,,,
1996218,22.3,30.5,22.2,0,,,
1996219,15.3,31.7,23.3,1.5,,,
1996220,20.7,32.2,22.8,0,,,
1996221,24.8,32.8,21.7,0,,,
1996222,20.3,32.8,22.8,0,,,
1996223,20,31.7,22.8,9.1,,,
1996224,7.3,25,22.2,9.4,,,
1996225,21.6,30.6,20.6,4.3,,,
1996226,21.9,31.1,20.6,0,,,
1996227,24.9,30.6,20.6,0,,,
1996228,23.7,31.1,21.7,0,,,
1996229,24.4,31.7,20.6,0,,,
1996230,23.4,31.1,20.6,0,,,
1996231,22.1,30.6,20.6,0,,,
1996232,23,32.2,22.2,9.4,,,
1996233,23,32.2,22.2,0,,,
1996234,17.1,30.6,21.7,0,,,
1996235,18,30.6,22.2,9.9,,,
1996236,14.7,30,22.8,0,,,
1996237,23.1,32.2,21.1,0,,,
1996238,24,32.2,20.6,0,,,
1996239,22.8,31.7,20.6,6.4,,,
1996240,18.1,31.7,20,0,,,
1996241,10.2,31.7,20,5.3,,,
1996242,12,27.8,21.1,20.3,,,
1996243,13.7,28.3,21.1,0,,,
1996244,12.3,24.4,20.6,1,,,
1996245,13.6,26.1,20.6,0,,,
1996246,19.4,29.4,21.1,0,,,
1996247,22.6,30.6,19.4,0,,,
1996248,22.2,30.6,18.9,0,,,
1996249,20.1,31.1,20,0,,,
1996250,21,31.7,19.4,0,,,
1996251,21.2,32.8,20.6,0,,,
1996252,19.1,32.8,20,0,,,
1996253,11.4,29.4,21.1,0,,,
1996254,20.7,32.2,20,0,,,
1996255,22.2,31.7,18.3,0,,,
1996256,21.8,33.3,21.7,0,,,
1996257,14,30,20.6,0,,,
1996258,17.1,30.6,20.6,0,,,
1996259,13.4,31.1,21.7,5.1,,,
1996260,15.7,31.7,24.4,3.6,,,
1996261,20.9,30.6,21.7,0,,,
1996262,21.4,30.6,18.9,0,,,
1996263,19.4,30,20,0,,,
1996264,4.2,23.3,19.4,20.3,,,
1996265,19.3,28.3,18.9,25.9,,,
1996266,22.8,28.3,17.8,0,,,
1996267,22.8,28.9,14.4,0,,,
1996268,15.2,27.8,16.7,0,,,
1996269,18.8,28.9,17.8,0,,,
1996270,18.5,30.6,18.9,0,,,
1996271,2.8,24.4,18.9,48,,,
1996272,12.1,24.4,12.2,3.3,,,
1996273,21.6,23.3,11.1,0,,,
1996274,15.4,24.4,12.2,0,,,
1996275,8.8,28.9,20.6,0,,,
1996276,9.2,27.8,20.6,0,,,
1996277,15.1,26.7,19.4,0,,,
1996278,16.5,27.2,17.8,0,,,
1996279,4.9,23.3,16.1,2,,,
1996280,4,23.3,15.6,14.2,,,
1996281,17.5,25,15,0,,,
1996282,18.9,25.6,13.9,0,,,
1996283,19.8,23.9,13.9,0,,,
1996284,20.1,25,11.1,0,,,
1996285,19.9,22.2,9.4,0,,,
1996286,19.7,23.3,8.9,0,,,
1996287,19.1,25.6,12.8,0,,,
1996288,18.2,26.1,13.9,0,,,
1996289,17.9,25,12.8,0,,,
1996290,12.3,26.7,12.8,1,,,
1996291,12.2,27.8,12.8,7.9,,,
1996292,19.2,21.1,11.1,5.6,,,
1996293,18.8,21.1,5.6,0,,,
1996294,18.4,24.4,9.4,0,,,
1996295,15.9,26.7,9.4,0,,,
1996296,6.6,26.7,5.6,3.6,,,
1996297,18.3,26.1,5.6,0,,,
1996298,14.3,20.6,5,32,,,
1996299,5.8,22.2,14.4,12.2,,,
1996300,9.7,28.3,14.4,58.4,,,
1996301,13.3,27.8,20.6,0,,,
1996302,9.7,25.6,17.8,0,,,
1996303,12.2,28.3,17.8,0,,,
1996304,10.4,27.8,17.8,20.3,,,
1996305,13.2,25.6,13.3,0,,,
1996306,12.5,27.8,12.2,6.4,,,
1996307,17.3,16.7,7.8,0,,,
1996308,16.6,15.6,4.4,0,,,
1996309,13.3,20,5.6,0,,,
1996310,15.2,23.9,11.7,0,,,
1996311,11.9,26.7,13.3,0,,,
1996312,3.5,25.6,12.2,33,,,
1996313,16.8,18.3,8.3,0,,,
1996314,16.5,15,4.4,0,,,
1996315,16.3,18.9,3.9,0,,,
1996316,15.8,21.7,7.2,0,,,
1996317,15.8,21.7,7.2,0,,,
1996318,16.2,21.1,8.3,0,,,
1996319,15.8,21.7,7.2,0,,,
1996320,12.9,22.2,10,0,,,
1996321,6.8,17.8,12.8,0,,,
1996322,6.5,21.1,16.7,2.8,,,
1996323,5.9,21.7,15.6,0,,,
1996324,6.3,19.4,13.9,0,,,
1996325,8.8,23.9,15.6,0,,,
1996326,8.4,25.6,13.9,0,,,
1996327,14.8,19.4,10,0,,,
1996328,10.3,20.6,8.3,0,,,
1996329,9.5,24.4,15,10.9,,,
1996330,5,16.1,5,0,,,
1996331,5,8.3,2.8,0,,,
1996332,12.5,12.8,0.6,0,,,
1996333,9.8,16.7,4.4,0,,,
1996334,3.4,20,10.6,1.3,,,
1996335,5.5,23.9,16.7,2,,,
1996336,12.8,16.7,3.3,0,,,
1996337,14.9,12.8,-2.2,0,,,
1996338,12.9,18.9,2.2,0,,,
1996339,7.5,12.8,8.3,0,,,
1996340,11.2,18.3,5.6,8.6,,,
1996341,8.8,24.4,6.1,0,,,
1996342,13.1,21.7,6.1,0,,,
1996343,14.1,16.7,3.9,0,,,
1996344,13.9,20.6,1.1,0,,,
1996345,9.7,22.8,5,0,,,
1996346,6.5,22.8,16.1,0,,,
1996347,9.4,25.6,15.6,0,,,
1996348,11.1,23.3,13.9,0,,,
1996349,11.5,19.4,11.1,0,,,
1996350,7,21.7,11.7,12.7,,,
1996351,2.5,15.6,3.3,39.9,,,
1996352,12.6,9.4,2.8,0,,,
1996353,5.6,5,-2.2,0,,,
1996354,13.7,2.8,-4.4,0,,,
1996355,13.1,6.1,-6.7,0,,,
1996356,11.7,16.7,0.6,0,,,
1996357,6.4,18.9,11.1,0,,,
1996358,7,23.3,10.6,0,,,
1996359,9.7,19.4,1.7,5.6,,,
1996360,13.9,12.2,-1.7,0,,,
1996361,5.7,18.9,5,15.7,,,
1996362,7,20,5,8.1,,,
1996363,4.9,21.1,5.6,1.3,,,
1996364,3.4,18.9,14.4,10.7,,,
1996365,6.7,20,11.7,0,,,
1996366,6.3,21.1,11.7,1,,,
1997001,6.1,23.3,13.3,0,,,
1997002,6.3,24.4,13.9,12.7,,,
1997003,9.1,26.7,15,0,,,
1997004,6.8,29.4,16.1,0,,,
1997005,13.4,25,15,0,,,
1997006,3.1,15,7.8,0,,,
1997007,3.3,7.8,1.7,15.2,,,
1997008,1.8,7.8,4.4,3,,,
1997009,6.1,7.8,0,0,,,
1997010,14.8,17.2,-1.1,0,,,
1997011,13.8,5.6,-2.2,0,,,
1997012,3.3,1.1,-0.6,6.9,,,
1997013,4.4,1.1,-1.1,0,,,
1997014,9.1,11.1,-1.1,0,,,
1997015,5.7,19.4,-1.1,12.7,,,
1997016,15.1,8.9,-1.1,0,,,
1997017,13.1,5,-5.6,0,,,
1997018,13.2,6.7,-6.1,0,,,
1997019,15.4,16.1,-3.9,0,,,
1997020,15.3,18.9,1.7,0,,,
1997021,7.4,19.4,7.8,0.5,,,
1997022,8.5,21.1,13.9,40.1,,,
1997023,6.3,19.4,15,0,,,
1997024,11.2,23.3,16.1,9.9,,,
1997025,15.9,17.2,8.9,0,,,
1997026,14.3,19.4,5.6,0,,,
1997027,7.9,25,13.9,12.7,,,
1997028,3.4,25,1.1,44.5,,,
1997029,4.8,3.3,0.6,0,,,
1997030,14,13.3,2.2,0,,,
1997031,15.8,18.9,2.2,0,,,
1997032,9.6,22.2,9.4,0,,,
1997033,10.5,23.9,17.8,0,,,
1997034,10.1,22.8,13.9,0,,,
1997035,11.2,23.3,15.6,22.1,,,
1997036,18.1,16.7,6.7,0,,,
1997037,10.6,12.8,3.9,0,,,
1997038,4.5,15.6,6.1,4.1,,,
1997039,5.5,7.8,4.4,0,,,
1997040,7.9,7.8,2.8,0.5,,,
1997041,13.5,9.4,2.8,1.3,,,
1997042,18.3,10.6,1.1,0,,,
1997043,2.9,6.7,3.9,7.6,,,
1997044,9.4,11.1,5,4.1,,,
1997045,4.5,7.8,3.3,3,,,
1997046,19.3,15,1.7,0,,,
1997047,20,16.7,0,0,,,
1997048,20.2,18.9,1.1,0,,,
1997049,11.8,19.4,5.6,0,,,
1997050,10.3,22.8,11.1,0,,,
1997051,8.6,23.9,16.1,0,,,
1997052,20.1,25.6,12.8,21.3,,,
1997053,20.2,16.7,7.2,0,,,
1997054,4.9,10.6,7.8,0,,,
1997055,3,10,6.1,26.9,,,
1997056,2.9,12.8,7.2,43.2,,,
1997057,11.8,24.4,12.8,0.8,,,
1997058,10.8,22.2,11.7,9.7,,,
1997059,6.8,23.9,12.8,1.5,,,
1997060,11.6,25.6,20,0,,,
1997061,5.6,25,12.2,0,,,
1997062,18,20,7.8,0,,,
1997063,14.9,23.9,6.7,0,,,
1997064,15.3,27.2,11.7,0.3,,,
1997065,21.6,17.2,5.6,0,,,
1997066,22.2,19.4,6.7,0,,,
1997067,21.4,23.3,7.8,0,,,
1997068,12.4,24.4,11.1,0,,,
1997069,8,25,14.4,1.3,,,
1997070,11.8,22.8,13.3,0,,,
1997071,9.7,22.8,15,0,,,
1997072,13.8,23.9,15,26.2,,,
1997073,11.2,23.9,12.2,0,,,
1997074,11.3,14.4,9.4,0,,,
1997075,10.3,15,7.2,0,,,
1997076,10.7,18.9,10.6,0,,,
1997077,13.1,24.4,13.9,11.4,,,
1997078,5.2,24.4,10,1,,,
1997079,10.6,15.6,8.9,14.5,,,
1997080,24.4,23.9,5.6,0,,,
1997081,22.8,26.7,9.4,0,,,
1997082,23.4,23.3,12.2,0,,,
1997083,23.7,25,11.1,0,,,
1997084,15.9,26.1,13.9,0,,,
1997085,14.1,19.4,12.8,10.7,,,
1997086,14.8,23.3,12.2,0,,,
1997087,16.7,28.3,17.8,0,,,
1997088,19.7,28.9,17.2,0,,,
1997089,8.7,25,13.9,15.7,,,
1997090,20.1,20,11.1,0,,,
1997091,17.2,19.4,10.6,0,,,
1997092,24.1,23.3,11.1,0,,,
1997093,12.4,21.1,14.4,0,,,
1997094,6.1,23.3,16.7,20.3,,,
1997095,9.7,22.8,12.2,50.8,,,
1997096,26.7,25,10,0,,,
1997097,26.6,23.9,11.1,0,,,
1997098,7.2,22.2,12.2,0,,,
1997099,25.5,22.8,10,0,,,
1997100,25.7,23.3,11.1,0,,,
1997101,10.7,21.1,15.6,18.5,,,
1997102,13.6,17.8,9.4,11.7,,,
1997103,14,19.4,6.1,0,,,
1997104,14,14.4,6.7,0,,,
1997105,17.2,19.4,5.6,0,,,
1997106,26.7,23.3,7.2,0,,,
1997107,26.4,21.7,7.8,0,,,
1997108,24.6,20.6,3.3,0,,,
1997109,19.5,23.3,10,0,,,
1997110,23.9,26.7,10.6,0,,,
1997111,23.1,28.3,17.2,0,,,
1997112,9.2,26.1,13.9,0.8,,,
1997113,26.8,25.6,10,0,,,
1997114,20.3,21.7,11.7,0,,,
1997115,7.2,18.3,13.9,2,,,
1997116,10.7,19.4,12.2,40.6,,,
1997117,11.3,23.9,17.2,113.5,,,
1997118,7.7,23.3,12.8,0,,,
1997119,23.7,21.7,12.8,0,,,
1997120,24.2,26.7,13.3,0,,,
1997121,25.8,26.7,16.7,0,,,
1997122,17.4,28.3,20,2.3,,,
1997123,28.4,25,16.1,35.6,,,
1997124,28.8,25,10.6,0,,,
1997125,24,25.6,11.1,0,,,
1997126,26.7,25,12.8,0,,,
1997127,26.9,27.2,14.4,0,,,
1997128,24.7,28.9,16.7,0,,,
1997129,18.5,27.2,16.7,0,,,
1997130,14,22.2,13.9,0,,,
1997131,19.4,24.4,12.8,0,,,
1997132,22.2,26.1,15.6,1.3,,,
1997133,27.1,26.1,15.6,0,,,
1997134,24.6,29.4,16.1,0,,,
1997135,19.8,27.8,17.2,23.1,,,
1997136,19.3,25.6,17.2,0,,,
1997137,28.4,28.9,15,0,,,
1997138,21.7,28.9,15,1.5,,,
1997139,16.3,28.9,15,6.4,,,
1997140,19.8,30,15,0,,,
1997141,17.6,28.9,18.9,20.8,,,
1997142,15.9,25.6,17.8,38.1,,,
1997143,13.1,26.1,20.6,14.2,,,
1997144,10.8,23.3,18.9,40.9,,,
1997145,16.6,27.2,20,0,,,
1997146,24.9,31.1,22.2,0,,,
1997147,25.4,32.2,21.7,0,,,
1997148,18.6,30,20,4.6,,,
1997149,19.4,27.2,19.4,0.8,,,
1997150,21.8,27.8,20,7.9,,,
1997151,19,25,18.3,3,,,
1997152,25.1,26.7,16.1,0,,,
1997153,28.8,28.3,13.9,0,,,
1997154,28.8,28.3,13.9,0,,,
1997155,25.5,28.3,13.9,0,,,
1997156,23.8,28.3,20,0,,,
1997157,22.7,28.3,20,0,,,
1997158,15.1,28.3,21.7,22.1,,,
1997159,16.2,26.7,20.6,40.9,,,
1997160,24.4,28.3,20,0,,,
1997161,23.1,30.6,21.7,0,,,
1997162,22.8,31.1,21.7,0,,,
1997163,26.4,32.2,21.1,0,,,
1997164,25.4,32.2,22.2,0,,,
1997165,26.7,32.8,22.2,0,,,
1997166,25.1,32.8,23.3,0,,,
1997167,22.8,32.8,22.8,2,,,
1997168,3.6,26.1,20.6,29.7,,,
1997169,16,28.9,20.6,25.4,,,
1997170,21.1,31.1,21.1,5.1,,,
1997171,23.6,32.8,22.8,0,,,
1997172,25.9,32.8,23.9,0,,,
1997173,22.1,31.7,22.8,0,,,
1997174,27.9,33.3,21.1,9.1,,,
1997175,26.9,31.7,21.7,0,,,
1997176,16.4,28.9,22.2,0,,,
1997177,19,29.4,22.8,0,,,
1997178,22.8,31.7,21.7,7.9,,,
1997179,16.2,30.6,22.8,4.6,,,
1997180,19.5,30.6,22.2,5.6,,,
1997181,22.4,31.7,23.3,0,,,
1997182,26.7,32.8,22.8,0,,,
1997183,28.5,32.8,23.3,0,,,
1997184,28.1,33.3,23.9,0,,,
1997185,27.9,33.9,23.9,0,,,
1997186,26.2,33.9,20,43.7,,,
1997187,19.4,30.6,21.7,15.7,,,
1997188,20.4,30.6,21.7,0.5,,,
1997189,14.5,31.1,21.7,5.1,,,
1997190,15.7,29.4,22.2,4.6,,,
1997191,25.2,32.2,21.7,0,,,
1997192,26.4,33.3,22.8,0,,,
1997193,18.6,32.2,23.3,0,,,
1997194,20.7,32.8,21.7,7.4,,,
1997195,24.2,32.8,21.1,0,,,
1997196,20.3,32.2,22.2,0,,,
1997197,24.3,31.7,21.7,0,,,
1997198,23.8,30.6,22.2,0,,,
1997199,21.2,31.1,22.2,0,,,
1997200,25.9,32.8,21.1,0,,,
1997201,23.3,33.3,23.3,0,,,
1997202,25.4,33.3,22.2,0,,,
1997203,22.5,33.9,23.9,0,,,
1997204,16.1,33.3,22.2,12.7,,,
1997205,22.8,31.7,21.1,0,,,
1997206,23.3,32.2,23.9,0,,,
1997207,24,33.9,22.8,2.5,,,
1997208,23.3,33.9,22.8,0,,,
1997209,23.6,33.3,23.9,19.3,,,
1997210,18.3,32.8,23.9,17.8,,,
1997211,20,31.1,22.8,4.3,,,
1997212,19.1,31.7,23.3,2.5,,,
1997213,13.6,28.3,23.3,0,,,
1997214,24.2,30.6,21.1,0,,,
1997215,23,31.7,20.6,0,,,
1997216,20.3,32.2,21.7,0,,,
1997217,24.3,33.3,22.8,0,,,
1997218,21.8,33.3,22.8,0,,,
1997219,21,32.2,21.7,0,,,
1997220,11.2,29.4,21.7,8.4,,,
1997221,7.3,27.8,22.2,2,,,
1997222,16.3,32.8,23.3,0,,,
1997223,22,32.8,23.3,0,,,
1997224,22.9,33.3,22.2,0,,,
1997225,23.8,33.9,22.8,0,,,
1997226,18.5,33.3,23.3,0,,,
1997227,23.6,35,23.9,0,,,
1997228,21.1,35,24.4,0,,,
1997229,18.1,35,24.4,0,,,
1997230,21.8,34.4,22.8,2.8,,,
1997231,22.2,35,22.8,0,,,
1997232,23,34.4,22.2,20.3,,,
1997233,25.6,32.2,21.7,0,,,
1997234,21,30.6,20.6,0,,,
1997235,20.8,29.4,21.7,0,,,
1997236,23.6,30.6,19.4,0,,,
1997237,24.1,31.1,18.9,0,,,
1997238,23,32.8,20,0,,,
1997239,22.5,32.8,20,0,,,
1997240,22.6,32.8,20,0,,,
1997241,22.4,33.3,21.1,0,,,
1997242,21.9,35,21.1,0,,,
1997243,20.9,35.6,20.6,0,,,
1997244,22.1,33.9,20.6,0,,,
1997245,17.1,33.3,22.2,11.9,,,
1997246,21.3,33.9,21.7,0,,,
1997247,18.7,30,21.7,0,,,
1997248,23,31.7,18.9,1.5,,,
1997249,16.4,31.7,22.8,0,,,
1997250,20.5,31.7,22.2,0,,,
1997251,22.8,32.2,18.9,0,,,
1997252,18.2,30.6,20.6,0,,,
1997253,22.4,32.2,20.6,0,,,
1997254,24.4,31.7,18.9,0,,,
1997255,24.4,31.7,17.2,0,,,
1997256,22.9,32.8,16.7,0,,,
1997257,22.7,33.3,18.3,0,,,
1997258,22.9,32.8,17.2,0,,,
1997259,21.3,33.9,17.8,0,,,
1997260,21.6,33.3,18.9,0,,,
1997261,21.3,33.9,19.4,0,,,
1997262,22.3,34.4,20,0,,,
1997263,21.4,35,21.7,0,,,
1997264,20.1,35,20,0,,,
1997265,18,34.4,21.1,0,,,
1997266,7.4,28.3,21.7,0,,,
1997267,11.5,28.9,22.2,5.8,,,
1997268,7.9,22.2,18.9,0,,,
1997269,21.8,28.3,17.8,0,,,
1997270,20.1,28.3,13.9,0,,,
1997271,21.5,31.1,15.6,0,,,
1997272,21.2,32.2,15.6,0,,,
1997273,20.7,33.3,17.8,0,,,
1997274,19.2,33.3,19.4,0,,,
1997275,21.7,29.4,12.2,0,,,
1997276,21.1,29.4,12.8,0,,,
1997277,20.2,30,12.8,0,,,
1997278,19.1,31.7,16.1,0,,,
1997279,17,32.8,16.7,0,,,
1997280,12.1,30.6,21.1,0,,,
1997281,15.1,31.1,21.7,0,,,
1997282,14.8,31.7,22.2,0,,,
1997283,10.7,31.1,22.2,0,,,
1997284,16.9,31.1,21.1,0,,,
1997285,12.5,30,20.6,0,,,
1997286,6.8,30,15,11.4,,,
1997287,19.5,21.1,11.7,0,,,
1997288,19.3,22.8,8.9,0,,,
1997289,19.3,22.8,8.9,0,,,
1997290,18.9,22.8,9.4,0,,,
1997291,18.8,21.1,5.6,0,,,
1997292,17.5,23.3,4.4,0,,,
1997293,16.8,26.7,9.4,0,,,
1997294,15.3,26.7,9.4,0,,,
1997295,8.9,18.3,10,0,,,
1997296,12.1,23.9,8.9,0.5,,,
1997297,14.2,28.3,16.7,15.7,,,
1997298,7.7,27.8,16.7,23.1,,,
1997299,6.9,24.4,8.9,18.5,,,
1997300,15.3,12.8,5.6,0,,,
1997301,10.5,12.2,3.3,0,,,
1997302,12.8,20.6,6.1,0,,,
1997303,15.7,23.9,10.6,0,,,
1997304,11.5,26.1,16.7,0,,,
1997305,10.3,27.8,14.4,0,,,
1997306,17.5,21.7,6.7,0,,,
1997307,17.2,20.6,3.3,0,,,
1997308,14.9,20,0.6,0,,,
1997309,9.1,22.2,8.3,0,,,
1997310,15.6,16.7,8.9,0,,,
1997311,8.5,12.8,8.3,0,,,
1997312,16.3,16.1,2.8,0,,,
1997313,12.3,14.4,2.2,0,,,
1997314,8.9,16.1,6.1,0,,,
1997315,13.4,19.4,10.6,0,,,
1997316,4.7,15,11.7,34.8,,,
1997317,4.9,15,11.1,2,,,
1997318,11.2,16.1,6.7,0,,,
1997319,5.1,9.4,3.3,0,,,
1997320,16,10.6,1.1,0,,,
1997321,16,11.1,-0.6,0,,,
1997322,4.3,11.1,7.2,11.7,,,
1997323,8.1,16.1,7.8,0,,,
1997324,10.2,20,6.7,0,,,
1997325,3.6,21.7,13.9,3.8,,,
1997326,7.6,17.8,10,0,,,
1997327,14.4,17.8,5,0,,,
1997328,15.7,17.8,2.8,0,,,
1997329,15.4,20,4.4,0,,,
1997330,11.9,23.3,7.8,0,,,
1997331,12.1,22.8,10.6,0,,,
1997332,9.3,23.9,12.8,41.4,,,
1997333,9.3,21.7,10,2.5,,,
1997334,14.5,21.1,8.3,0,,,
1997335,8.4,15,5,0,,,
1997336,10.5,21.1,8.3,0,,,
1997337,6.8,18.3,11.1,13,,,
1997338,12,11.7,0.6,0,,,
1997339,14.3,12.8,0,0,,,
1997340,13.6,10,-1.7,0,,,
1997341,4,6.7,-1.7,8.1,,,
1997342,9.7,21.7,4.4,0,,,
1997343,6.9,24.4,12.2,0,,,
1997344,12.1,21.7,5.6,0,,,
1997345,3.6,6.1,3.3,0,,,
1997346,5.6,7.2,2.8,0,,,
1997347,6.3,5.6,2.8,4.3,,,
1997348,7.2,5.6,-2.2,0,,,
1997349,13.7,12.8,-3.3,0,,,
1997350,13.6,16.1,-2.8,0,,,
1997351,12,18.9,2.2,0,,,
1997352,13,20,1.1,0,,,
1997353,12.2,22.2,3.9,0,,,
1997354,5.9,17.8,8.9,0.5,,,
1997355,8.5,22.8,12.8,38.1,,,
1997356,13.9,21.1,5,0,,,
1997357,3.5,21.1,5,45.7,,,
1997358,13.1,17.2,7.2,4.8,,,
1997359,14.2,16.1,3.9,0,,,
1997360,6.2,12.2,5,26.4,,,
1997361,12.3,8.9,0.6,0,,,
1997362,9.5,12.8,-2.2,0,,,
1997363,12.6,10,4.4,0,,,
1997364,14.1,14.4,-2.2,0,,,
1997365,13.9,12.8,2.8,0,,,
1998001,14.4,16.1,1.7,0,,,
1998002,12.9,20.6,7.2,0,,,
1998003,9.5,21.1,12.2,0,,,
1998004,4.1,18.9,13.3,21.6,,,
1998005,7,20.6,15,19.8,,,
1998006,2.3,20.6,14.4,67.3,,,
1998007,3.7,17.8,9.4,6.4,,,
1998008,5.8,17.8,5,0,,,
1998009,14.1,12.8,0.6,0,,,
1998010,15.1,18.9,2.2,0,,,
1998011,11.2,19.4,5.6,0,,,
1998012,5.4,17.8,13.3,50.8,,,
1998013,2.6,15.6,13.3,4.6,,,
1998014,4.7,16.1,13.3,5.3,,,
1998015,3.7,15,5,5.8,,,
1998016,15.7,15,2.2,0,,,
1998017,15.1,17.8,7.8,0,,,
1998018,6.7,21.1,8.9,0,,,
1998019,14.1,13.3,5,0,,,
1998020,15.4,15,3.3,0,,,
1998021,9.6,20,9.4,3,,,
1998022,5.4,15.6,7.2,51.3,,,
1998023,10.1,11.1,2.8,0,,,
1998024,15.9,12.8,0,0,,,
1998025,15.8,14.4,3.3,0,,,
1998026,5.6,14.4,8.3,15.7,,,
1998027,6.6,14.4,2.2,0,,,
1998028,16.1,16.1,0,0,,,
1998029,14.5,18.9,2.8,0,,,
1998030,9.9,17.8,7.2,0,,,
1998031,17.1,16.7,5.6,0,,,
1998032,5.5,16.7,8.9,3,,,
1998033,4.1,12.8,10.6,0,,,
1998034,14.9,17.8,10.6,0,,,
1998035,17.7,14.4,3.3,0,,,
1998036,15.5,14.4,0,0,,,
1998037,13.2,11.1,1.1,0,,,
1998038,18,13.3,-1.7,0,,,
1998039,17.9,16.7,0.6,0,,,
1998040,8.8,16.7,8.3,0,,,
1998041,11.7,22.8,11.7,20.8,,,
1998042,18.3,16.7,6.1,0,,,
1998043,17.8,18.3,2.8,0,,,
1998044,18.8,18.3,5.6,0,,,
1998045,15.6,16.7,5.6,0,,,
1998046,3.9,12.2,8.9,25.9,,,
1998047,6,13.3,9.4,23.4,,,
1998048,16.4,16.1,5,0,,,
1998049,19.9,18.3,7.8,0,,,
1998050,7.7,15.6,5.6,3.6,,,
1998051,18.6,17.8,6.7,0,,,
1998052,20.3,18.9,5.6,0,,,
1998053,6.1,12.8,8.9,42.7,,,
1998054,20.2,17.2,3.9,0,,,
1998055,20.7,20.6,4.4,0,,,
1998056,15,22.2,10,0,,,
1998057,8,19.4,12.2,23.6,,,
1998058,10.6,17.2,8.3,0,,,
1998059,12.7,18.9,5,0,,,
1998060,21.2,15,2.8,0,,,
1998061,21.4,18.9,0.6,0,,,
1998062,21.5,12.8,2.2,0,,,
1998063,15.3,20,3.9,0,,,
1998064,10.4,23.9,12.8,0,,,
1998065,7.6,21.1,15.6,0.5,,,
1998066,4.2,20.6,16.1,23.6,,,
1998067,12.3,20,5,0,,,
1998068,21.4,11.7,4.4,0,,,
1998069,22.6,9.4,1.7,0,,,
1998070,21.1,11.7,-2.8,0,,,
1998071,20.4,11.7,-2.8,0,,,
1998072,14.2,13.9,2.2,0,,,
1998073,13.2,18.9,6.1,0,,,
1998074,18.9,22.2,7.8,0,,,
1998075,10.3,21.1,11.7,52.3,,,
1998076,21.4,25.6,13.9,0,,,
1998077,14.9,22.8,14.4,0,,,
1998078,11.9,23.9,9.4,0,,,
1998079,14.3,10.6,5.6,0,,,
1998080,23.1,15,4.4,0,,,
1998081,23.9,18.3,1.1,0,,,
1998082,23.5,22.8,3.9,0,,,
1998083,22.6,23.3,7.8,0,,,
1998084,18.6,24.4,13.9,0,,,
1998085,19.6,26.1,15,0,,,
1998086,15.5,26.1,15,0,,,
1998087,20.9,27.2,16.7,0,,,
1998088,17.9,26.7,18.3,0,,,
1998089,19,27.8,18.9,0,,,
1998090,6.7,22.8,8.9,24.4,,,
1998091,24.8,23.9,8.3,0,,,
1998092,8.9,21.7,11.1,1.3,,,
1998093,20.3,27.8,17.8,0,,,
1998094,25.3,20,9.4,0,,,
1998095,24.9,21.1,7.2,0,,,
1998096,24.5,23.3,7.2,0,,,
1998097,19.9,28.3,14.4,0,,,
1998098,14.3,26.1,20,0.8,,,
1998099,26.8,23.3,13.9,0,,,
1998100,26.7,22.2,9.4,0,,,
1998101,27.5,22.8,5.6,0,,,
1998102,27.5,23.3,7.2,0,,,
1998103,11.4,23.3,15,0,,,
1998104,15.6,27.8,18.3,0,,,
1998105,17.5,27.2,18.9,0,,,
1998106,10.4,26.7,17.8,0,,,
1998107,7,21.7,12.8,45.7,,,
1998108,3,17.2,13.9,14,,,
